year,overall,nonunanimous,singlevote,key
1953,63,58,58,55
1954,61,55,55,52
1955,58,47,47,44
1956,63,54,55,57
1957,53,50,49,59
1958,59,53,54,52
1959,52,47,49,48
1960,51,52,48,48
1961,59,54,55,49
1962,62,55,53,50
1963,59,53,52,54
1964,61,56,57,54
1965,50,59,59,59
1966,59,52,52,54
1967,60,51,52,51
1968,61,51,53,48
1969,53,52,52,51
1970,61,49,49,45
1971,58,53,51,53
1972,56,55,55,43
1973,48,46,46,47
1974,51,47,47,52
1975,43,47,47,44
1976,44,43,42,44
1977,57,51,54,50
1978,56,55,51,50
1979,54,50,49,49
1980,55,51,51,43
1981,54,54,50,50
1982,51,44,40,45
1983,44,45,39,45
