"","chamber","year","score"
"1","House",1792,54.1
"2","House",1794,53.1
"3","House",1796,81.7
"4","House",1797,51.8
"5","House",1798,54.3
"6","House",1799,56.3
"7","House",1800,48.9
"8","House",1801,54.3
"9","House",1802,60.4
"10","House",1803,69.5
"11","House",1804,69
"12","House",1806,57.3
"13","House",1807,62.5
"14","House",1808,60.3
"15","House",1809,58.1
"16","House",1810,55.5
"17","House",1811,68.3
"18","House",1812,47.8
"19","House",1813,51.9
"20","House",1814,56.2
"21","House",1816,52.1
"22","House",1817,58.6
"23","House",1818,61.8
"24","House",1820,63.6
"25","House",1821,70.8
"26","House",1823,43
"27","House",1824,56.1
"28","House",1825,54
"29","House",1826,61.8
"30","House",1827,44.5
"31","House",1828,59.8
"32","House",1829,52.2
"33","House",1830,40.9
"34","House",1831,51.2
"35","House",1832,54.1
"36","House",1833,52.5
"37","House",1834,54.5
"38","House",1835,48.7
"39","House",1836,49.5
"40","House",1837,46.1
"41","House",1838,49.3
"42","House",1839,44.6
"43","House",1840,56.7
"44","House",1841,52
"45","House",1842,44
"46","House",1843,26.5
"47","House",1844,62.8
"48","House",1845,62
"49","House",1846,51.2
"50","House",1847,60.5
"51","House",1848,53.7
"52","House",1849,61.6
"53","House",1850,51.8
"54","House",1851,52.6
"55","House",1852,41.9
"56","House",1853,37
"57","House",1854,41.7
"58","House",1855,48.6
"59","House",1856,47.8
"60","House",1857,56.7
"61","House",1858,44.6
"62","House",1859,47.2
"63","House",1860,55.1
"64","House",1861,49.4
"65","House",1862,61.6
"66","House",1863,46.5
"67","House",1864,35.4
"68","House",1865,47
"69","House",1867,21.2
"70","House",1868,58.2
"71","House",1869,48.4
"72","House",1870,54
"73","House",1871,52.2
"74","House",1872,47.9
"75","House",1873,68.7
"76","House",1874,54.3
"77","House",1875,49.3
"78","House",1876,37.8
"79","House",1877,55.7
"80","House",1878,61.9
"81","House",1879,46.4
"82","House",1880,49
"83","House",1881,33.7
"84","House",1882,46.8
"85","House",1883,56.4
"86","House",1884,52.2
"87","House",1885,45.7
"88","House",1886,44.8
"89","House",1887,67.5
"90","House",1888,47.2
"91","House",1889,50.5
"92","House",1890,45.7
"93","House",1891,54
"94","House",1892,49.8
"95","House",1893,69
"96","House",1894,65.5
"97","House",1895,51.5
"98","House",1896,84.2
"99","House",1897,50.7
"100","House",1898,61
"101","House",1899,56.5
"102","House",1900,46
"103","House",1901,62.8
"104","House",1902,56
"105","House",1903,60.6
"106","House",1904,55
"107","House",1905,69.8
"108","House",1906,56.8
"109","House",1907,55.7
"110","House",1908,50.7
"111","House",1909,53.2
"112","House",1910,52.3
"113","House",1911,45.6
"114","House",1912,39.3
"115","House",1913,61.7
"116","House",1914,64.8
"117","House",1915,72.8
"118","House",1916,72.4
"119","House",1917,66.1
"120","House",1918,92.2
"121","House",1919,63.5
"122","House",1920,95.6
"123","House",1921,62
"124","House",1922,52.3
"125","House",1923,68.7
"126","House",1924,66.8
"127","House",1925,66.4
"128","House",1926,67.2
"129","House",1927,61.4
"130","House",1928,62.1
"131","House",1929,75.4
"132","House",1930,46.4
"133","House",1931,63.6
"134","House",1932,64.3
"135","House",1933,71
"136","House",1934,62.8
"137","House",1935,65
"138","House",1936,64.2
"139","House",1937,63.6
"140","House",1938,63.5
"141","House",1939,57.2
"142","House",1940,60.6
"143","House",1941,58.1
"144","House",1942,72
"145","House",1943,41.1
"146","House",1944,53.7
"147","House",1945,76.6
"148","House",1946,59.2
"149","House",1947,53.3
"150","House",1948,72.7
"151","House",1949,59
"152","House",1950,54.4
"153","House",1951,60.2
"154","House",1952,59.7
"155","House",1953,65.4
"156","House",1954,62.9
"157","House",1955,57.1
"158","House",1956,62.9
"159","House",1957,53.1
"160","House",1958,59.2
"161","House",1959,52
"162","House",1960,51.1
"163","House",1961,60.5
"164","House",1962,61.9
"165","House",1963,58.4
"166","House",1964,60.8
"167","House",1965,64.6
"168","House",1966,58.1
"169","House",1967,61
"170","House",1968,60.5
"171","House",1969,53.3
"172","House",1970,60.9
"173","House",1971,58.4
"174","House",1972,56.3
"175","House",1973,47.8
"176","House",1974,51.4
"177","House",1975,47.7
"178","House",1976,43.9
"179","House",1977,57.2
"180","House",1978,53.7
