"congress","year","icpsr","statecode","district","state","party","occupancy","means","name","pres_matches","pres_votes","pres_there_for","score"
1,1789,507,11,0,"DELAWARE",4000,0,3,"BASSETT",0,0,0,NA
1,1789,1346,48,0,"SOUTH CAROLINA",5000,0,3,"BUTLER",0,0,0,NA
1,1789,1536,52,0,"MARYLAND",5000,0,3,"CARROLL",0,0,0,NA
1,1789,2307,3,0,"MASSACHUSETTS",5000,0,3,"DALTON",0,0,0,NA
1,1789,2576,12,0,"NEW JERSEY",5000,2,3,"DICKINSON",0,0,0,NA
1,1789,2936,1,0,"CONNECTICUT",5000,0,3,"ELLSWORTH",0,0,0,NA
1,1789,2943,12,0,"NEW JERSEY",5000,0,3,"ELMER",0,0,0,NA
1,1789,3128,44,0,"GEORGIA",4000,0,3,"FEW",0,0,0,NA
1,1789,3315,5,0,"RHODE ISLAND",5000,0,3,"FOSTER",0,0,0,NA
1,1789,3771,40,0,"VIRGINIA",4000,1,3,"GRAYSON",0,0,0,NA
1,1789,3877,44,0,"GEORGIA",4000,0,3,"GUNN",0,0,0,NA
1,1789,4212,47,0,"NORTH CAROLINA",5000,0,3,"HAWKINS",0,0,0,NA
1,1789,4333,52,0,"MARYLAND",5000,0,3,"HENRY",0,0,0,NA
1,1789,4837,48,0,"SOUTH CAROLINA",5000,0,3,"IZARD",0,0,0,NA
1,1789,4998,1,0,"CONNECTICUT",5000,0,3,"JOHNSON",0,0,0,NA
1,1789,5012,47,0,"NORTH CAROLINA",5000,0,3,"JOHNSTON",0,0,0,NA
1,1789,5270,13,0,"NEW YORK",5000,0,3,"KING",0,0,0,NA
1,1789,5449,4,0,"NEW HAMPSHIRE",5000,0,3,"LANGDON",0,0,0,NA
1,1789,5565,40,0,"VIRGINIA",4000,0,3,"LEE",0,0,0,NA
1,1789,5891,14,0,"PENNSYLVANIA",4000,0,3,"MACLAY",0,0,0,NA
1,1789,6594,40,0,"VIRGINIA",4000,3,3,"MONROE",0,0,0,NA
1,1789,6712,14,0,"PENNSYLVANIA",5000,0,3,"MORRIS",0,0,0,NA
1,1789,7231,12,0,"NEW JERSEY",5000,1,3,"PATERSON",0,0,0,NA
1,1789,7762,11,0,"DELAWARE",5000,0,3,"READ",0,0,0,NA
1,1789,8282,13,0,"NEW YORK",5000,0,3,"SCHUYLER",0,0,0,NA
1,1789,8845,5,0,"RHODE ISLAND",4000,0,3,"STANTON",0,0,0,NA
