congress,house_percent_unity,house_total_votes,house_unity_votes,senate_percent_unity,senate_total_votes,senate_unity_votes
1,0.5963302752293578,109,65,0.5360824742268041,97,52
2,0.7352941176470589,102,75,0.49019607843137253,51,25
3,0.7971014492753623,69,55,0.7215189873417721,79,57
4,0.6626506024096386,83,55,0.7674418604651163,86,66
5,0.8387096774193549,155,130,0.7227722772277227,202,146
6,0.8541666666666666,96,82,0.75,120,90
7,0.7887323943661971,142,112,0.6931818181818182,88,61
8,0.7196969696969697,132,95,0.5733333333333334,150,86
9,0.569620253164557,158,90,0.5340909090909091,88,47
10,0.5907172995780591,237,140,0.5934065934065934,91,54
11,0.7098976109215017,293,208,0.54216867469879515,166,90
12,0.7898089171974523,314,248,0.6176470588235294,204,126
13,0.8607954545454546,352,303,0.7072243346007605,263,186
14,0.5752212389380531,113,65,0.4021164021164021,189,76
15,0.4528301886792453,106,48,0.2803030303030303,132,37
16,0.3197278911564626,147,47,0.375,120,45
17,0.16842105263157894,95,16,0.25274725274725274,91,23
19,0.6306306306306306,111,70,0.5236051502145923,233,122
20,0.7424892703862661,233,173,0.7058823529411765,238,168
21,0.6703296703296703,273,183,0.7075812274368231,277,196
22,0.7532467532467533,462,348,0.6729857819905213,422,284
23,0.7064220183486238,327,231,0.6929824561403509,228,158
24,0.6579520697167756,459,302,0.6082004555808656,439,267
25,0.6926315789473684,475,329,0.5281173594132029,409,216
26,0.7762982689747004,751,583,0.6536144578313253,332,217
27,0.795687885010267,974,775,0.8454987834549879,822,695
28,0.7571189279731994,597,452,0.6885245901639344,305,210
29,0.7694704049844237,642,494,0.7303664921465969,382,279
30,0.7573221757322176,478,362,0.5306122448979592,343,182
35,0.7244525547445255,548,397,0.7118402282453637,701,499
36,0.815242494226328,433,353,0.6968698517298187,607,423
37,0.719435736677116,638,459,0.529338327091136,801,424
38,0.815,600,489,0.5953177257525084,598,356
39,0.7373572593800979,613,452,0.564870259481038,501,283
40,0.7350069735006973,717,527,0.5624123422159888,713,401
41,0.7350157728706624,634,466,0.601078167115903,742,446
42,0.7330754352030948,517,379,0.6836861768368617,803,549
43,0.7452631578947368,475,354,0.6357142857142857,420,267
44,0.7042682926829268,328,231,0.6705069124423964,434,291
45,0.7347480106100795,377,277,0.6735042735042736,585,394
46,0.7608200455580866,439,334,0.7456140350877193,570,425
47,0.7765042979942693,349,271,0.8204868154158215,986,809
48,0.6586826347305389,334,220,0.6627634660421545,427,283
49,0.6633986928104575,306,203,0.6507592190889371,461,300
50,0.5375,320,172,0.794344473007712,389,309
51,0.8057921635434412,587,473,0.7984790874524715,526,420
52,0.4605263157894737,304,140,0.6153846153846154,208,128
53,0.5067024128686327,373,189,0.7290552584670231,561,409
54,0.7037037037037037,162,114,0.5888324873096447,197,116
55,0.8032786885245902,183,147,0.7795275590551181,381,297
56,0.7718120805369127,149,115,0.7678571428571429,168,129
57,0.6702702702702703,185,124,0.788135593220339,118,93
58,0.9080459770114943,87,79,0.782608695652174,92,72
59,0.7352941176470589,136,100,0.65625,128,84
60,0.5641025641025641,312,176,0.6547619047619048,84,55
61,0.7970297029702971,202,161,0.7910447761194029,268,212
62,0.6030534351145038,262,158,0.5656565656565656,396,224
63,0.6205673758865248,282,175,0.7325174825174825,572,419
64,0.5796178343949044,157,91,0.5960591133004927,406,242
65,0.4473684210526316,266,119,0.4322916666666667,384,166
66,0.46017699115044247,339,156,0.6363636363636364,407,259
67,0.5966850828729282,362,216,0.7509986684420772,751,564
68,0.5865921787709497,179,105,0.46382978723404256,235,109
69,0.43859649122807015,114,50,0.4322033898305085,236,102
70,0.5277777777777778,72,38,0.41361256544502617,191,79
71,0.5922330097087378,103,61,0.6559633027522935,436,286
72,0.5853658536585366,123,72,0.3892857142857143,280,109
73,0.7272727272727273,143,104,0.6754385964912281,228,154
74,0.5990566037735849,212,127,0.5129533678756477,193,99
75,0.6392405063291139,158,101,0.6264367816091954,174,109
76,0.7180616740088106,227,163,0.6165413533834586,266,164
77,0.4342105263157895,152,66,0.546875,192,105
78,0.5,156,78,0.5681818181818182,220,125
79,0.4805194805194805,231,111,0.5532786885245902,244,135
80,0.4539877300613497,163,74,0.6290322580645161,248,156
81,0.509090909090909,275,140,0.6263736263736264,455,285
82,0.6077348066298343,181,110,0.6261980830670927,313,196
83,0.46258503401360546,147,68,0.4981549815498155,271,135
84,0.4228187919463087,149,63,0.45622119815668205,217,99
85,0.49740932642487046,193,96,0.40390879478827363,307,124
86,0.5444444444444444,180,98,0.43364928909952605,422,183
87,0.49166666666666664,240,118,0.5280373831775701,428,226
88,0.5172413793103449,232,120,0.41198501872659177,534,220
89,0.47715736040609136,394,188,0.45472837022132795,497,226
90,0.35564853556485354,478,170,0.33221476510067116,596,198
91,0.2866817155756208,443,127,0.36186186186186187,666,241
92,0.32819722650231126,649,213,0.387434554973822,955,370
93,0.36178107606679033,1078,390,0.4112478031634446,1138,468
94,0.42340926944226237,1273,539,0.41189931350114417,1311,540
95,0.37662337662337664,1540,580,0.43896103896103894,1155,507
96,0.427115987460815,1276,545,0.45635673624288425,1054,481
97,0.3694581280788177,812,300,0.453416149068323,966,438
98,0.5176600441501104,906,469,0.40874811463046756,663,271
99,0.5876404494382023,890,523,0.5054054054054054,740,374
100,0.5591054313099042,939,525,0.4167709637046308,799,333
101,0.5369738339021616,879,472,0.4482758620689655,638,286
102,0.5993340732519423,901,540,0.5109090909090909,550,281
103,0.6380255941499086,1094,698,0.600828729281768,724,435
104,0.6737320211960636,1321,890,0.6670293797606094,919,613
105,0.5274442538593482,1166,615,0.5310457516339869,612,325
106,0.45244003308519437,1209,547,0.5654761904761905,672,380
107,0.4161616161616162,990,412,0.5102685624012638,633,323
108,0.49589490968801314,1218,604,0.6207407407407407,675,419
109,0.5148760330578512,1210,623,0.6031007751937985,645,389
110,0.5882037533512064,1865,1097,0.5722983257229832,657,376
111,0.4650880388585307,1647,766,0.75,696,522
112,0.7453183520599251,1602,1194,0.5534979423868313,486,269
113,0.7046589018302829,1202,847,0.680365296803653,657,447
114,0.7443267776096822,1322,984,0.6175298804780877,502,310
115,0.6884838442419221,1207,831,0.6010016694490818,599,360
